instance_id,repo,base_commit,parsed_patch
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,"{""diff_locs"":[{""file"":""astropy/modeling/separable.py"",""diff_nodes"":[{""node_name"":""_cstack"",""node_type"":""FunctionDef"",""lineno"":219,""end_lineno"":247}],""lineno"":245,""end_lineno"":245}]}"
astropy__astropy-14182,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,"{""diff_locs"":[{""file"":""astropy/io/ascii/rst.py"",""diff_nodes"":[{""node_name"":""SimpleRSTData"",""node_type"":""ClassDef"",""lineno"":29,""end_lineno"":32}],""lineno"":30,""end_lineno"":30},{""file"":""astropy/io/ascii/rst.py"",""diff_nodes"":[{""node_name"":""RST"",""node_type"":""ClassDef"",""lineno"":35,""end_lineno"":66}],""lineno"":42,""end_lineno"":47},{""file"":""astropy/io/ascii/rst.py"",""diff_nodes"":[{""node_name"":""RST"",""node_type"":""ClassDef"",""lineno"":35,""end_lineno"":66},{""node_name"":""__init__"",""node_type"":""FunctionDef"",""lineno"":60,""end_lineno"":61}],""lineno"":60,""end_lineno"":61},{""file"":""astropy/io/ascii/rst.py"",""diff_nodes"":[{""node_name"":""RST"",""node_type"":""ClassDef"",""lineno"":35,""end_lineno"":66},{""node_name"":""write"",""node_type"":""FunctionDef"",""lineno"":63,""end_lineno"":66}],""lineno"":65,""end_lineno"":65}]}"
astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,"{""diff_locs"":[{""file"":""astropy/io/ascii/qdp.py"",""diff_nodes"":[{""node_name"":""_line_type"",""node_type"":""FunctionDef"",""lineno"":20,""end_lineno"":85}],""lineno"":71,""end_lineno"":71},{""file"":""astropy/io/ascii/qdp.py"",""diff_nodes"":[{""node_name"":""_get_tables_from_qdp_file"",""node_type"":""FunctionDef"",""lineno"":237,""end_lineno"":342}],""lineno"":309,""end_lineno"":309}]}"
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,"{""diff_locs"":[{""file"":""astropy/nddata/mixins/ndarithmetic.py"",""diff_nodes"":[{""node_name"":""NDArithmeticMixin"",""node_type"":""ClassDef"",""lineno"":103,""end_lineno"":750},{""node_name"":""_arithmetic_mask"",""node_type"":""FunctionDef"",""lineno"":485,""end_lineno"":527}],""lineno"":523,""end_lineno"":523},{""file"":""astropy/nddata/mixins/ndarithmetic.py"",""diff_nodes"":[{""node_name"":""NDArithmeticMixin"",""node_type"":""ClassDef"",""lineno"":103,""end_lineno"":750},{""node_name"":""_arithmetic_mask"",""node_type"":""FunctionDef"",""lineno"":485,""end_lineno"":527}],""lineno"":526,""end_lineno"":526}]}"
django__django-10914,django/django,e7fd69d051eaa67cb17f172a39b57253e9cb831a,"{""diff_locs"":[{""file"":""django/conf/global_settings.py"",""diff_nodes"":[],""lineno"":307,""end_lineno"":307}]}"
django__django-11099,django/django,d26b2424437dabeeca94d7900b37d2df4410da0c,"{""diff_locs"":[{""file"":""django/contrib/auth/validators.py"",""diff_nodes"":[{""node_name"":""ASCIIUsernameValidator"",""node_type"":""ClassDef"",""lineno"":9,""end_lineno"":15}],""lineno"":10,""end_lineno"":10},{""file"":""django/contrib/auth/validators.py"",""diff_nodes"":[{""node_name"":""UnicodeUsernameValidator"",""node_type"":""ClassDef"",""lineno"":19,""end_lineno"":25}],""lineno"":20,""end_lineno"":20}]}"
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,"{""diff_locs"":[{""file"":""django/http/response.py"",""diff_nodes"":[{""node_name"":""HttpResponseBase"",""node_type"":""ClassDef"",""lineno"":28,""end_lineno"":275},{""node_name"":""make_bytes"",""node_type"":""FunctionDef"",""lineno"":223,""end_lineno"":237}],""lineno"":232,""end_lineno"":232}]}"
django__django-11179,django/django,19fc6376ce67d01ca37a91ef2f55ef769f50513a,"{""diff_locs"":[{""file"":""django/db/models/deletion.py"",""diff_nodes"":[{""node_name"":""Collector"",""node_type"":""ClassDef"",""lineno"":63,""end_lineno"":327},{""node_name"":""delete"",""node_type"":""FunctionDef"",""lineno"":262,""end_lineno"":327}],""lineno"":279,""end_lineno"":279}]}"
django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,"{""diff_locs"":[{""file"":""django/db/migrations/serializer.py"",""diff_nodes"":[{""node_name"":""EnumSerializer"",""node_type"":""ClassDef"",""lineno"":119,""end_lineno"":125},{""node_name"":""serialize"",""node_type"":""FunctionDef"",""lineno"":120,""end_lineno"":125}],""lineno"":123,""end_lineno"":125}]}"
django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,"{""diff_locs"":[{""file"":""django/utils/http.py"",""diff_nodes"":[{""node_name"":""parse_http_date"",""node_type"":""FunctionDef"",""lineno"":158,""end_lineno"":191}],""lineno"":179,""end_lineno"":180},{""file"":""django/utils/http.py"",""diff_nodes"":[{""node_name"":""parse_http_date"",""node_type"":""FunctionDef"",""lineno"":158,""end_lineno"":191}],""lineno"":182,""end_lineno"":182}]}"
django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,"{""diff_locs"":[{""file"":""django/db/models/enums.py"",""diff_nodes"":[{""node_name"":""Choices"",""node_type"":""ClassDef"",""lineno"":61,""end_lineno"":63}],""lineno"":63,""end_lineno"":63}]}"
django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,"{""diff_locs"":[{""file"":""django/db/models/fields/__init__.py"",""diff_nodes"":[{""node_name"":""Field"",""node_type"":""ClassDef"",""lineno"":85,""end_lineno"":919},{""node_name"":""contribute_to_class"",""node_type"":""FunctionDef"",""lineno"":749,""end_lineno"":767}],""lineno"":766,""end_lineno"":767}]}"
django__django-12125,django/django,89d41cba392b759732ba9f1db4ff29ed47da6a56,"{""diff_locs"":[{""file"":""django/db/migrations/serializer.py"",""diff_nodes"":[{""node_name"":""TypeSerializer"",""node_type"":""ClassDef"",""lineno"":258,""end_lineno"":272},{""node_name"":""serialize"",""node_type"":""FunctionDef"",""lineno"":259,""end_lineno"":272}],""lineno"":272,""end_lineno"":272}]}"
django__django-12308,django/django,2e0f04507b17362239ba49830d26fec504d46978,"{""diff_locs"":[{""file"":""django/contrib/admin/utils.py"",""diff_nodes"":[{""node_name"":""display_for_field"",""node_type"":""FunctionDef"",""lineno"":380,""end_lineno"":402}],""lineno"":400,""end_lineno"":400}]}"
django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,"{""diff_locs"":[{""file"":""django/db/backends/base/schema.py"",""diff_nodes"":[{""node_name"":""BaseDatabaseSchemaEditor"",""node_type"":""ClassDef"",""lineno"":44,""end_lineno"":1200},{""node_name"":""alter_index_together"",""node_type"":""FunctionDef"",""lineno"":386,""end_lineno"":400}],""lineno"":396,""end_lineno"":396}]}"
django__django-13028,django/django,78ad4b4b0201003792bfdbf1a7781cbc9ee03539,"{""diff_locs"":[{""file"":""django/db/models/sql/query.py"",""diff_nodes"":[{""node_name"":""Query"",""node_type"":""ClassDef"",""lineno"":136,""end_lineno"":2296},{""node_name"":""check_filterable"",""node_type"":""FunctionDef"",""lineno"":1125,""end_lineno"":1134}],""lineno"":1127,""end_lineno"":1127}]}"
django__django-13033,django/django,a59de6e89e8dc1f3e71c9a5a5bbceb373ea5247e,"{""diff_locs"":[{""file"":""django/db/models/sql/compiler.py"",""diff_nodes"":[{""node_name"":""SQLCompiler"",""node_type"":""ClassDef"",""lineno"":22,""end_lineno"":1216},{""node_name"":""find_ordering_name"",""node_type"":""FunctionDef"",""lineno"":715,""end_lineno"":749}],""lineno"":730,""end_lineno"":730}]}"
